epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.167,1.09507,3.04107,1.42632,0.56801,0.21569,0.35989,0.23636,1.08394,3.17455,1.66286,0.000326797,0.000326797,0.000326797
2,588.022,1.05839,1.91846,1.35951,0.42896,0.82814,0.72701,0.46198,1.11367,3.5661,1.6583,0.00064706,0.00064706,0.00064706
3,868.138,1.05232,1.55875,1.34589,0.81348,0.89874,0.96286,0.65623,1.1028,1.83623,1.59518,0.000954123,0.000954123,0.000954123
4,1149.73,1.0519,1.35039,1.31578,0.66741,0.828,0.83817,0.56965,1.06044,1.9178,1.5887,0.0009406,0.0009406,0.0009406
5,1434.15,1.01756,1.2625,1.311,0.80805,0.79072,0.90195,0.63105,1.06443,1.70416,1.56193,0.0009208,0.0009208,0.0009208
6,1713.46,1.01684,1.13245,1.31062,0.87424,0.90143,0.96519,0.6024,1.19796,1.40636,1.71243,0.000901,0.000901,0.000901
7,1994.42,1.02748,1.0938,1.30015,0.8003,0.79547,0.88339,0.62952,1.01733,1.30253,1.50611,0.0008812,0.0008812,0.0008812
8,2275.13,0.97096,1.0293,1.2688,0.85047,0.91465,0.97086,0.72225,0.97419,1.10866,1.43382,0.0008614,0.0008614,0.0008614
9,2555.31,0.96484,0.92778,1.25711,0.88489,0.93874,0.96871,0.71461,0.96392,1.04815,1.42945,0.0008416,0.0008416,0.0008416
10,2835.65,1.01009,0.87483,1.27829,0.9713,0.97364,0.99355,0.73365,0.96246,0.81629,1.42423,0.0008218,0.0008218,0.0008218
11,3118.34,0.95902,0.83946,1.26264,0.9496,0.95963,0.98715,0.72428,0.99424,0.8113,1.44307,0.000802,0.000802,0.000802
12,3396.43,0.93781,0.82087,1.23329,0.97173,0.99077,0.99435,0.67992,1.08606,0.72376,1.5493,0.0007822,0.0007822,0.0007822
13,3676.3,0.95208,0.77978,1.2489,0.97859,0.97708,0.98997,0.74056,0.97872,0.67868,1.42164,0.0007624,0.0007624,0.0007624
14,3955.09,0.95685,0.77035,1.25473,0.9853,0.9939,0.98978,0.7477,0.91751,0.63667,1.37378,0.0007426,0.0007426,0.0007426
15,4234.71,0.94498,0.7087,1.24272,0.97338,0.98117,0.99082,0.73996,0.99163,0.63036,1.44692,0.0007228,0.0007228,0.0007228
16,4513.23,0.92212,0.68202,1.22269,0.98657,0.9936,0.99068,0.73764,0.95638,0.60173,1.39906,0.000703,0.000703,0.000703
17,4792.38,0.92138,0.68256,1.22591,0.95896,0.97922,0.9917,0.75621,0.97378,0.61258,1.41688,0.0006832,0.0006832,0.0006832
18,5071.35,0.91208,0.65681,1.22896,0.98248,0.97705,0.99007,0.76747,0.95083,0.5691,1.40439,0.0006634,0.0006634,0.0006634
19,5350.67,0.89262,0.60508,1.21686,0.97485,0.99428,0.99065,0.76162,0.9318,0.56357,1.38135,0.0006436,0.0006436,0.0006436
20,5629.84,0.91605,0.61725,1.22583,0.97985,0.97629,0.9872,0.76669,0.90789,0.54545,1.35856,0.0006238,0.0006238,0.0006238
21,5909.07,0.90592,0.599,1.22575,0.97508,0.98164,0.98459,0.76508,0.93,0.51031,1.37739,0.000604,0.000604,0.000604
22,6186.92,0.90287,0.61489,1.20869,0.98774,0.99337,0.99168,0.77069,0.90766,0.47749,1.34353,0.0005842,0.0005842,0.0005842
23,6466.31,0.91324,0.6012,1.21464,0.97844,0.98263,0.9913,0.75828,0.92475,0.50922,1.37872,0.0005644,0.0005644,0.0005644
24,6745.96,0.88844,0.58443,1.19791,0.98402,0.99363,0.99188,0.76763,0.92898,0.46838,1.38242,0.0005446,0.0005446,0.0005446
25,7026.12,0.87424,0.55182,1.20174,0.94965,0.96215,0.9796,0.76351,0.89189,0.59547,1.33204,0.0005248,0.0005248,0.0005248
26,7305.11,0.84812,0.55473,1.17663,0.90897,0.95805,0.97572,0.75509,0.90422,0.6493,1.34972,0.000505,0.000505,0.000505
27,7585.64,0.87913,0.55636,1.20737,0.98678,0.99214,0.98837,0.77808,0.87462,0.44973,1.32307,0.0004852,0.0004852,0.0004852
28,7864.48,0.84661,0.54045,1.18927,0.99089,0.98811,0.99476,0.76313,0.91019,0.44184,1.35231,0.0004654,0.0004654,0.0004654
29,8144.31,0.84999,0.52274,1.18848,0.99006,0.99053,0.98986,0.78075,0.87896,0.42463,1.32101,0.0004456,0.0004456,0.0004456
30,8426.42,0.85549,0.51521,1.18141,0.99002,0.99164,0.98969,0.77475,0.89587,0.42193,1.34023,0.0004258,0.0004258,0.0004258
31,8738.69,0.85707,0.52398,1.1946,0.99691,0.99728,0.995,0.77645,0.89523,0.42756,1.34523,0.000406,0.000406,0.000406
32,9046.07,0.8234,0.49726,1.17075,0.99145,0.99256,0.9884,0.77512,0.87189,0.39474,1.31934,0.0003862,0.0003862,0.0003862
33,9328.26,0.82357,0.49643,1.16828,0.99021,0.9951,0.98973,0.7776,0.87857,0.40897,1.33986,0.0003664,0.0003664,0.0003664
34,9609.27,0.83704,0.49228,1.17396,0.98913,0.99438,0.99162,0.77973,0.89569,0.39699,1.342,0.0003466,0.0003466,0.0003466
35,9887.9,0.82678,0.46839,1.17509,0.99108,0.99082,0.99199,0.77972,0.88484,0.41321,1.3407,0.0003268,0.0003268,0.0003268
36,10180.5,0.83211,0.46211,1.16242,0.98947,0.9951,0.98971,0.7853,0.88778,0.38336,1.33285,0.000307,0.000307,0.000307
37,10528.4,0.82127,0.46439,1.16149,0.99173,0.9951,0.99029,0.7796,0.88031,0.38685,1.33234,0.0002872,0.0002872,0.0002872
38,10813.4,0.82261,0.45508,1.1673,0.99205,0.99413,0.98985,0.79196,0.85232,0.37553,1.30718,0.0002674,0.0002674,0.0002674
39,11097.9,0.81498,0.45446,1.16147,0.9918,0.99322,0.99147,0.80002,0.84874,0.36889,1.29709,0.0002476,0.0002476,0.0002476
40,11378.2,0.79987,0.46285,1.15377,0.99267,0.99462,0.99167,0.79576,0.84904,0.3724,1.30637,0.0002278,0.0002278,0.0002278
41,11656.7,0.73697,0.40636,1.21791,0.99263,0.99331,0.99146,0.78701,0.87372,0.38144,1.31257,0.000208,0.000208,0.000208
42,11931.5,0.73318,0.40022,1.19362,0.99001,0.9934,0.99168,0.79071,0.85982,0.37003,1.31644,0.0001882,0.0001882,0.0001882
43,12206.5,0.71428,0.37388,1.18147,0.99292,0.99157,0.99018,0.80045,0.84431,0.36414,1.30363,0.0001684,0.0001684,0.0001684
44,12481.2,0.73031,0.36669,1.20458,0.99279,0.9947,0.99141,0.79435,0.86312,0.38103,1.30822,0.0001486,0.0001486,0.0001486
45,12754.6,0.70182,0.36099,1.17554,0.99236,0.9917,0.99218,0.79622,0.85645,0.3668,1.31785,0.0001288,0.0001288,0.0001288
46,13028.9,0.706,0.34943,1.17684,0.99299,0.99158,0.99146,0.7864,0.88572,0.36464,1.34253,0.000109,0.000109,0.000109
47,13304.3,0.68648,0.36023,1.15918,0.99259,0.99116,0.99021,0.79688,0.85169,0.35563,1.29941,8.92e-05,8.92e-05,8.92e-05
48,13578.8,0.67614,0.33566,1.16344,0.99247,0.99143,0.99226,0.80231,0.84239,0.36029,1.29776,6.94e-05,6.94e-05,6.94e-05
49,13855.6,0.66468,0.351,1.1482,0.99251,0.99199,0.99184,0.80537,0.84538,0.36176,1.2938,4.96e-05,4.96e-05,4.96e-05
50,14130.1,0.66265,0.33084,1.14154,0.9925,0.99184,0.99202,0.79706,0.8431,0.35675,1.29619,2.98e-05,2.98e-05,2.98e-05
